entity_path,entity_type,cleanroom_target_name,primary_builtins_or_symbols,feature_guards,cleanroom_implementation_spec
include/metal/__bits/metal_texture2d,header_module (.metal / .h),metal_texture2d.metal,__HAVE_16B_COORDS__;__HAVE_ARRAY__;__HAVE_CALCULATE_LOD__;__HAVE_COHERENT__;__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_MIN_LOD_CLAMP__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_TEXTURE_READWRITE__;__HAVE_TEXTURE_RELAXED_ORDER_ATOMIC__;__HAVE_TEXTURE_ULONG_COLOR_CHANNEL__,16,Internal Header Submodule (`metal_texture2d.metal`) — stdlib 内部実装詳細・型定義
include/metal/__bits/metal_texture2d_array,header_module (.metal / .h),metal_texture2d_array.metal,__HAVE_16B_COORDS__;__HAVE_ARRAY__;__HAVE_CALCULATE_LOD__;__HAVE_COHERENT__;__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_MIN_LOD_CLAMP__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_TEXTURE_READWRITE__;__HAVE_TEXTURE_RELAXED_ORDER_ATOMIC__;__HAVE_TEXTURE_ULONG_COLOR_CHANNEL__,16,Internal Header Submodule (`metal_texture2d_array.metal`) — stdlib 内部実装詳細・型定義
include/metal/__bits/metal_texture2d_ms,header_module (.metal / .h),metal_texture2d_ms.metal,__HAVE_16B_COORDS__;__HAVE_ARRAY__;__HAVE_COHERENT__;__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_TEXTURE_ULONG_COLOR_CHANNEL__,12,Internal Header Submodule (`metal_texture2d_ms.metal`) — stdlib 内部実装詳細・型定義
include/metal/__bits/metal_texture2d_ms_array,header_module (.metal / .h),metal_texture2d_ms_array.metal,__HAVE_16B_COORDS__;__HAVE_ARRAY__;__HAVE_COHERENT__;__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_TEXTURE_2D_MS_ARRAY__;__HAVE_TEXTURE_ULONG_COLOR_CHANNEL__,13,Internal Header Submodule (`metal_texture2d_ms_array.metal`) — stdlib 内部実装詳細・型定義
include/metal/__bits/metal_texture3d,header_module (.metal / .h),metal_texture3d.metal,__HAVE_16B_COORDS__;__HAVE_ARRAY__;__HAVE_CALCULATE_LOD__;__HAVE_COHERENT__;__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_MIN_LOD_CLAMP__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_TEXTURE_READWRITE__;__HAVE_TEXTURE_RELAXED_ORDER_ATOMIC__;__HAVE_TEXTURE_ULONG_COLOR_CHANNEL__,16,Internal Header Submodule (`metal_texture3d.metal`) — stdlib 内部実装詳細・型定義
include/metal/__bits/metal_texture_buffer,header_module (.metal / .h),metal_texture_buffer.metal,__HAVE_16B_COORDS__;__HAVE_ARRAY__;__HAVE_COHERENT__;__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_TEXTURE_BUFFER__;__HAVE_TEXTURE_RELAXED_ORDER_ATOMIC__,12,Internal Header Submodule (`metal_texture_buffer.metal`) — stdlib 内部実装詳細・型定義
include/metal/__bits/metal_texture_common,header_module (.metal / .h),metal_texture_common.metal,__HAVE_ALWAYS_NEVER_COMPARE_FUNCTION__;__HAVE_ANISOTROPY_LOD_MIN_MAX__;__HAVE_ARRAYS_OF_SAMPLERS__;__HAVE_ARRAY__;__HAVE_BICUBIC_FILTERING__;__HAVE_BORDER_COLOR__;__HAVE_COHERENT__;__HAVE_COPY_ASSIGNABLE_TEXTURE__;__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__;__HAVE_DEPTH_2D_MS_ARRAY__;__HAVE_DEPTH_CUBE_ARRAY__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_MIN_LOD_CLAMP__;__HAVE_NONE_COMPARE_FUNCTION__;__HAVE_NULL_TEXTURE__;__HAVE_OPERATOR_ADDRESSOF_DELETED__;__HAVE_OPERATOR_COMMA_DELETED__;__HAVE_RAYTRACING__;__HAVE_SAMPLER_LOD_BIAS__;__HAVE_SAMPLER_REDUCTION__;__HAVE_SPARSE_TEXTURES__;__HAVE_TEXTURE_2D_MS_ARRAY__;__HAVE_TEXTURE_BUFFER__;__HAVE_TEXTURE_CUBE_ARRAY__;__HAVE_TEXTURE_READWRITE__;__HAVE_TEXTURE_RELAXED_ORDER_ATOMIC__;__HAVE_ZERO_LOD_ARG__,30,Internal Header Submodule (`metal_texture_common.metal`) — stdlib 内部実装詳細・型定義
include/metal/__bits/metal_texturecube,header_module (.metal / .h),metal_texturecube.metal,__HAVE_16B_COORDS__;__HAVE_ARRAY__;__HAVE_CALCULATE_LOD__;__HAVE_COHERENT__;__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_MIN_LOD_CLAMP__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_TEXTURE_CUBE_READ__;__HAVE_TEXTURE_CUBE_RELAXED_ORDER_ATOMIC__;__HAVE_TEXTURE_CUBE_WRITE__;__HAVE_TEXTURE_READWRITE__;__HAVE_TEXTURE_ULONG_COLOR_CHANNEL__,18,Internal Header Submodule (`metal_texturecube.metal`) — stdlib 内部実装詳細・型定義
include/metal/__bits/metal_texturecube_array,header_module (.metal / .h),metal_texturecube_array.metal,__HAVE_16B_COORDS__;__HAVE_ARRAY__;__HAVE_CALCULATE_LOD__;__HAVE_COHERENT__;__HAVE_DEFAULT_CONSTRUCTABLE_TEXTURE__;__HAVE_DEVICE_COHERENT_READ_WRITE_TEXTURES__;__HAVE_IMAGEBLOCKS__;__HAVE_INDIRECT_ARGUMENT_BUFFER__;__HAVE_MESH__;__HAVE_MIN_LOD_CLAMP__;__HAVE_NULL_TEXTURE__;__HAVE_RAYTRACING__;__HAVE_SPARSE_TEXTURES__;__HAVE_TEXTURE_CUBE_ARRAY_RELAXED_ORDER_ATOMIC__;__HAVE_TEXTURE_CUBE_ARRAY__;__HAVE_TEXTURE_READWRITE__;__HAVE_TEXTURE_ULONG_COLOR_CHANNEL__,17,Internal Header Submodule (`metal_texturecube_array.metal`) — stdlib 内部実装詳細・型定義
include/metal/__exec/units.h,header_module (.metal / .h),units.metal,__HAVE_EXECUTION_UNIT__,1,Standard MSL Header (`units.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/__mdspan/extents.h,header_module (.metal / .h),extents.metal,__HAVE_TENSOR__,1,Standard MSL Header (`extents.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/simd/matrix_types.h,header_module (.metal / .h),matrix_types.metal,__HAVE_NATIVE_DOUBLE__;__HAVE_SIMD_TYPES_PREFIX__,2,Standard MSL Header (`matrix_types.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/simd/packed.h,header_module (.metal / .h),packed.metal,MSL Type/Trait Definitions,0,Standard MSL Header (`packed.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
include/metal/simd/simd.h,header_module (.metal / .h),simd.metal,MSL Type/Trait Definitions,0,Inline MSL Header (`simd.metal`) — SIMD/ベクトル/行列演算 C++ インライン展開ラッパー
include/metal/simd/vector_types.h,header_module (.metal / .h),vector_types.metal,MSL Type/Trait Definitions,0,Standard MSL Header (`vector_types.metal`) — `builtin_to_air_map.v2.csv` 直結組み込みラッパー
lib/darwin/MTLRaytracingRuntime.rtlib,precompiled_container (.metallib / .rtlib),MTLRaytracingRuntime.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Raytracing Runtime (`MTLRaytracingRuntime.metallib`) — レイ解析ハードウェア補助 Slice
lib/darwin/MTLShaderLoggingRuntime.rtlib,precompiled_container (.metallib / .rtlib),MTLShaderLoggingRuntime.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Logging Runtime (`MTLShaderLoggingRuntime.metallib`) — `os_log` 処理 AIR Slice
lib/darwin/libair_rt_ios.rtlib,precompiled_container (.metallib / .rtlib),libair_rt_ios.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled AIR Runtime Slice (`libair_rt.metallib`) — 汎用ランタイム補助関数の AIR コンテナ
lib/darwin/libair_rt_iosmac.rtlib,precompiled_container (.metallib / .rtlib),libair_rt_iosmac.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled AIR Runtime Slice (`libair_rt.metallib`) — 汎用ランタイム補助関数の AIR コンテナ
lib/darwin/libair_rt_iossim.rtlib,precompiled_container (.metallib / .rtlib),libair_rt_iossim.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled AIR Runtime Slice (`libair_rt.metallib`) — 汎用ランタイム補助関数の AIR コンテナ
lib/darwin/libair_rt_osx.rtlib,precompiled_container (.metallib / .rtlib),libair_rt_osx.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled AIR Runtime Slice (`libair_rt.metallib`) — 汎用ランタイム補助関数の AIR コンテナ
lib/darwin/libair_rt_tvos.rtlib,precompiled_container (.metallib / .rtlib),libair_rt_tvos.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled AIR Runtime Slice (`libair_rt.metallib`) — 汎用ランタイム補助関数の AIR コンテナ
lib/darwin/libair_rt_tvossim.rtlib,precompiled_container (.metallib / .rtlib),libair_rt_tvossim.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled AIR Runtime Slice (`libair_rt.metallib`) — 汎用ランタイム補助関数の AIR コンテナ
lib/darwin/libair_rt_watchos.rtlib,precompiled_container (.metallib / .rtlib),libair_rt_watchos.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled AIR Runtime Slice (`libair_rt.metallib`) — 汎用ランタイム補助関数の AIR コンテナ
lib/darwin/libair_rt_watchossim.rtlib,precompiled_container (.metallib / .rtlib),libair_rt_watchossim.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled AIR Runtime Slice (`libair_rt.metallib`) — 汎用ランタイム補助関数の AIR コンテナ
lib/darwin/libair_rt_xros.rtlib,precompiled_container (.metallib / .rtlib),libair_rt_xros.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled AIR Runtime Slice (`libair_rt.metallib`) — 汎用ランタイム補助関数の AIR コンテナ
lib/darwin/libair_rt_xrossim.rtlib,precompiled_container (.metallib / .rtlib),libair_rt_xrossim.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled AIR Runtime Slice (`libair_rt.metallib`) — 汎用ランタイム補助関数の AIR コンテナ
lib/darwin/libpost_mesh_dump_rt_ios.rtlib,precompiled_container (.metallib / .rtlib),libpost_mesh_dump_rt_ios.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Mesh Dump Hook (`libpost_mesh_dump_rt.metallib`) — メッシュシェーダ出力ダンプ用 Slice
lib/darwin/libpost_mesh_dump_rt_iosmac.rtlib,precompiled_container (.metallib / .rtlib),libpost_mesh_dump_rt_iosmac.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Mesh Dump Hook (`libpost_mesh_dump_rt.metallib`) — メッシュシェーダ出力ダンプ用 Slice
lib/darwin/libpost_mesh_dump_rt_iossim.rtlib,precompiled_container (.metallib / .rtlib),libpost_mesh_dump_rt_iossim.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Mesh Dump Hook (`libpost_mesh_dump_rt.metallib`) — メッシュシェーダ出力ダンプ用 Slice
lib/darwin/libpost_mesh_dump_rt_osx.rtlib,precompiled_container (.metallib / .rtlib),libpost_mesh_dump_rt_osx.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Mesh Dump Hook (`libpost_mesh_dump_rt.metallib`) — メッシュシェーダ出力ダンプ用 Slice
lib/darwin/libpost_mesh_dump_rt_tvos.rtlib,precompiled_container (.metallib / .rtlib),libpost_mesh_dump_rt_tvos.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Mesh Dump Hook (`libpost_mesh_dump_rt.metallib`) — メッシュシェーダ出力ダンプ用 Slice
lib/darwin/libpost_mesh_dump_rt_tvossim.rtlib,precompiled_container (.metallib / .rtlib),libpost_mesh_dump_rt_tvossim.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Mesh Dump Hook (`libpost_mesh_dump_rt.metallib`) — メッシュシェーダ出力ダンプ用 Slice
lib/darwin/libpost_mesh_dump_rt_watchos.rtlib,precompiled_container (.metallib / .rtlib),libpost_mesh_dump_rt_watchos.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Mesh Dump Hook (`libpost_mesh_dump_rt.metallib`) — メッシュシェーダ出力ダンプ用 Slice
lib/darwin/libpost_mesh_dump_rt_watchossim.rtlib,precompiled_container (.metallib / .rtlib),libpost_mesh_dump_rt_watchossim.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Mesh Dump Hook (`libpost_mesh_dump_rt.metallib`) — メッシュシェーダ出力ダンプ用 Slice
lib/darwin/libpost_mesh_dump_rt_xros.rtlib,precompiled_container (.metallib / .rtlib),libpost_mesh_dump_rt_xros.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Mesh Dump Hook (`libpost_mesh_dump_rt.metallib`) — メッシュシェーダ出力ダンプ用 Slice
lib/darwin/libpost_mesh_dump_rt_xrossim.rtlib,precompiled_container (.metallib / .rtlib),libpost_mesh_dump_rt_xrossim.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Mesh Dump Hook (`libpost_mesh_dump_rt.metallib`) — メッシュシェーダ出力ダンプ用 Slice
lib/darwin/libresource_tracking_rt_ios.rtlib,precompiled_container (.metallib / .rtlib),libresource_tracking_rt_ios.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Runtime Plugin (`libresource_tracking_rt_ios.metallib`) — GPU ベンダ別またはコンパイラ補助コンテナ
lib/darwin/libresource_tracking_rt_iosmac.rtlib,precompiled_container (.metallib / .rtlib),libresource_tracking_rt_iosmac.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Runtime Plugin (`libresource_tracking_rt_iosmac.metallib`) — GPU ベンダ別またはコンパイラ補助コンテナ
lib/darwin/libresource_tracking_rt_iossim.rtlib,precompiled_container (.metallib / .rtlib),libresource_tracking_rt_iossim.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Runtime Plugin (`libresource_tracking_rt_iossim.metallib`) — GPU ベンダ別またはコンパイラ補助コンテナ
lib/darwin/libresource_tracking_rt_osx.rtlib,precompiled_container (.metallib / .rtlib),libresource_tracking_rt_osx.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Runtime Plugin (`libresource_tracking_rt_osx.metallib`) — GPU ベンダ別またはコンパイラ補助コンテナ
lib/darwin/libresource_tracking_rt_tvos.rtlib,precompiled_container (.metallib / .rtlib),libresource_tracking_rt_tvos.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Runtime Plugin (`libresource_tracking_rt_tvos.metallib`) — GPU ベンダ別またはコンパイラ補助コンテナ
lib/darwin/libresource_tracking_rt_tvossim.rtlib,precompiled_container (.metallib / .rtlib),libresource_tracking_rt_tvossim.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Runtime Plugin (`libresource_tracking_rt_tvossim.metallib`) — GPU ベンダ別またはコンパイラ補助コンテナ
lib/darwin/libresource_tracking_rt_watchos.rtlib,precompiled_container (.metallib / .rtlib),libresource_tracking_rt_watchos.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Runtime Plugin (`libresource_tracking_rt_watchos.metallib`) — GPU ベンダ別またはコンパイラ補助コンテナ
lib/darwin/libresource_tracking_rt_watchossim.rtlib,precompiled_container (.metallib / .rtlib),libresource_tracking_rt_watchossim.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Runtime Plugin (`libresource_tracking_rt_watchossim.metallib`) — GPU ベンダ別またはコンパイラ補助コンテナ
lib/darwin/libresource_tracking_rt_xros.rtlib,precompiled_container (.metallib / .rtlib),libresource_tracking_rt_xros.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Runtime Plugin (`libresource_tracking_rt_xros.metallib`) — GPU ベンダ別またはコンパイラ補助コンテナ
lib/darwin/libresource_tracking_rt_xrossim.rtlib,precompiled_container (.metallib / .rtlib),libresource_tracking_rt_xrossim.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Runtime Plugin (`libresource_tracking_rt_xrossim.metallib`) — GPU ベンダ別またはコンパイラ補助コンテナ
lib/darwin/libtracepoint_rt_ios.metallib,precompiled_container (.metallib / .rtlib),libtracepoint_rt_ios.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Tracepoint Runtime (`libtracepoint_rt.metallib`) — デバッグ・トレース用 AIR Slice
lib/darwin/libtracepoint_rt_iosmac.metallib,precompiled_container (.metallib / .rtlib),libtracepoint_rt_iosmac.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Tracepoint Runtime (`libtracepoint_rt.metallib`) — デバッグ・トレース用 AIR Slice
lib/darwin/libtracepoint_rt_iossim.metallib,precompiled_container (.metallib / .rtlib),libtracepoint_rt_iossim.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Tracepoint Runtime (`libtracepoint_rt.metallib`) — デバッグ・トレース用 AIR Slice
lib/darwin/libtracepoint_rt_osx.metallib,precompiled_container (.metallib / .rtlib),libtracepoint_rt_osx.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Tracepoint Runtime (`libtracepoint_rt.metallib`) — デバッグ・トレース用 AIR Slice
lib/darwin/libtracepoint_rt_tvos.metallib,precompiled_container (.metallib / .rtlib),libtracepoint_rt_tvos.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Tracepoint Runtime (`libtracepoint_rt.metallib`) — デバッグ・トレース用 AIR Slice
lib/darwin/libtracepoint_rt_tvossim.metallib,precompiled_container (.metallib / .rtlib),libtracepoint_rt_tvossim.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Tracepoint Runtime (`libtracepoint_rt.metallib`) — デバッグ・トレース用 AIR Slice
lib/darwin/libtracepoint_rt_watchos.metallib,precompiled_container (.metallib / .rtlib),libtracepoint_rt_watchos.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Tracepoint Runtime (`libtracepoint_rt.metallib`) — デバッグ・トレース用 AIR Slice
lib/darwin/libtracepoint_rt_watchossim.metallib,precompiled_container (.metallib / .rtlib),libtracepoint_rt_watchossim.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Tracepoint Runtime (`libtracepoint_rt.metallib`) — デバッグ・トレース用 AIR Slice
lib/darwin/libtracepoint_rt_xros.metallib,precompiled_container (.metallib / .rtlib),libtracepoint_rt_xros.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Tracepoint Runtime (`libtracepoint_rt.metallib`) — デバッグ・トレース用 AIR Slice
lib/darwin/libtracepoint_rt_xrossim.metallib,precompiled_container (.metallib / .rtlib),libtracepoint_rt_xrossim.metallib,Precompiled Runtime Symbols / AIR Hooks,Target OS / Arch Specific,Precompiled Tracepoint Runtime (`libtracepoint_rt.metallib`) — デバッグ・トレース用 AIR Slice
